Algorithm;Parameters;FrameWork;balanced_accuracy;recall;precision
RandomForest;;scikit-learn;0.9576430976430977;0.96;0.96
RandomForest;;scikit-learn;0.951926406926407;0.9533333333333334;0.9533333333333334
