Algorithm;Parameters;FrameWork;balanced_accuracy;recall;precision;accuracy;f1;macro_recall;macro_precision;macro_accuracy;macro_f1
DecisionTree;max_depth = 20;R;0.903421713512991;0.866666666666667;0.866666666666667;0.866666666666667;0.866666666666667;0.877450980392157;0.882205513784461;0.911111111111111;0.877777777777778
RandomForest;;R;0.936159808751087;0.911111111111111;0.911111111111111;0.911111111111111;0.911111111111111;0.919117647058823;0.919117647058823;0.940740740740741;0.919117647058823
LogisticRegression;;R;0.900767490904408;0.866666666666667;0.866666666666667;0.866666666666667;0.866666666666667;0.871732026143791;0.882352941176471;0.911111111111111;0.876178666459996
XGboost;;R;0.936159808751087;0.911111111111111;0.911111111111111;0.911111111111111;0.911111111111111;0.919117647058823;0.919117647058823;0.940740740740741;0.919117647058823
